merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
COOP 11.SZ. U:ZLET KOC,coop zlet koc,5411,KOCS,HU,165.48,3/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
AMAZON UK* ZL4T49U94,amazon,5399,LONDON,GB,33.94,6/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25309031874�,FR,116.77,14/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
77418422,,5499,VAESTRA FROEL,SE,167.4,21/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
O17637159210879446 APP BR,,9311,TORINO,IT,127.16,15/12/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
MARCH RESTAURANTS,march restaurants,5812,W DENSWIL,CH,151.53,27/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LS THE SALTY DOG CAFE,the salty dog cafe,5814,TORQUAY,AU,125.12,1/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
GOPAY  *ANTIKAVION.CZ,gopay antikavion,5942,LIBEREC,CZ,152.63,14/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,,no
SQSP* DOMAIN#215854114,sqsp,7372,NEW YORK,US,169.78,1/10/2025,professional services,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,yes
PIZZERIA DI ROMA,pizzeria roma,5812,CHESSY,FR,6.06,15/3/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
DIPSAMATIC,dipsamatic,5499,BUSSY ST G,FR,174.07,5/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TV NOVA 7989441053,nova,4899,PRAHA 5,CZ,94.82,10/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
SC LASERUM SABADELL,laserum sabadell,7230,SABADELL,ES,52.9,19/2/2026,beauty & personal care,Beauty salons,personal services,"Hotels, laundry, beauty services, personal care",Beauty Salons,0.95,rule_based,mcc_rule,no
D7 SPOTIFY CAMP NOU,spotify camp nou,5813,TORRE MELINA,ES,51.76,17/1/2026,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
SEAVIEW CAFE,seaview cafe,5812,MELLIEHA,MT,124.27,11/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
FITZ CLUB,fitz club,7832,MADRID,ES,178.78,7/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule,no
MÁV-START JEGYKIADÓ,start jegykiad,4112,VELENCE,HU,6.91,28/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule,no
D9DFB SPORTS,sports,5815,DUBLIN 4,IE,101.73,20/2/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
GOPAY *CINEMAWARE.EU,gopay cinemaware,7832,SYSTEM.CINEMA,CZ,93.54,13/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule,no
LEKARNA POD KANKEM,lekarna pod kankem,5912,KUTNA HORA,CZ,151.14,9/10/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
ISEE MALTA,isee malta,4722,SLIEMA,MT,127.13,16/2/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
UNSOY TURIZM SHELL,unsoy turizm shell,5541,TEKIRDAG,TR,123.16,15/10/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
USCUSTOMS ESTA APPL PMT,uscustoms esta pmt,9399,317-715-6776,US,106.73,8/11/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule,no
AUCHAN SOROKSAR,auchan soroksar,5311,BUDAPEST,HU,15.61,7/11/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
CM *MOCO AMSTERDAM,moco amsterdam,7991,AMSTERDAM,NL,109.33,23/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Tourist Attractions,0.95,rule_based,mcc_rule,no
TV NOVA 9800249858,nova,4899,PRAHA 5,CZ,49.83,24/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
PROTV 9717753944,protv,4899,BUCHAREST,RO,90.84,17/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_CJYF-2422-2VWT,foodora cjyf,5499,WIEN,AT,106.25,16/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TV NOVA 6810682075,nova,4899,PRAHA 5,CZ,32.33,19/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
LIDL DIENSTLEISTUNG,lidl dienstleistung,5411,OLDENBURG IN,DE,39.44,7/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
