merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,transaction_month,transaction_day_of_week,ml_predicted_main_category,ml_confidence,ml_accepted_prediction,ml_classification_source
coop 11.sz. u:zlet koc,coop zlet koc,5411,kocs,hu,165.48,2025-11-03,Groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,11,0,,,,
amazon uk* zl4t49u94,amazon,5399,london,gb,33.94,2025-12-06,Shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,12,5,,,,
tcl 69 lyo,tcl lyo,4111,v25309031874�,fr,116.77,2025-10-14,Transport & Taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,10,1,,,,
77418422,,5499,vaestra froel,se,167.4,2026-03-21,Groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,3,5,,,,
o17637159210879446 app br,,9311,torino,it,127.16,2025-12-15,Government and Taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,12,0,,,,
march restaurants,march restaurants,5812,w denswil,ch,151.53,2026-01-27,Restaurants & Dining,"Restaurants, cafes, fast food",restaurants & digital goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule,1,1,,,,
ls the salty dog cafe,the salty dog cafe,5814,torquay,au,125.12,2025-12-01,Restaurants & Dining,"Restaurants, cafes, fast food",restaurants & digital goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule,12,0,,,,
gopay  *antikavion.cz,gopay antikavion,5942,liberec,cz,152.63,2025-10-14,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Book Stores,0.0,rule_based,,10,1,bars & alcohol,0.5392226557961746,False,ml_fallback
sqsp* domain#215854114,sqsp,7372,new york,us,169.78,2025-10-01,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,10,2,health & pharmacy,0.16433177847724148,False,ml_fallback
pizzeria di roma,pizzeria roma,5812,chessy,fr,6.06,2026-03-15,Restaurants & Dining,"Restaurants, cafes, fast food",restaurants & digital goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule,3,6,,,,
