merchant_description;mcc;city;country
COOP 11.SZ. U:ZLET KOC;5411;KOCS;HU
AMAZON UK* ZL4T49U94;5399;LONDON;GB
TCL 69 LYO;4111;V25309031874�;FR
77418422;5499;VAESTRA FROEL;SE
O17637159210879446 APP BR;9311;TORINO;IT
MARCH RESTAURANTS;5812;W DENSWIL;CH
LS THE SALTY DOG CAFE;5814;TORQUAY;AU
GOPAY  *ANTIKAVION.CZ;5942;LIBEREC;CZ
SQSP* DOMAIN#215854114;7372;NEW YORK;US
PIZZERIA DI ROMA;5812;CHESSY;FR
DIPSAMATIC;5499;BUSSY ST G;FR
TV NOVA 7989441053;4899;PRAHA 5;CZ
SC LASERUM SABADELL;7230;SABADELL;ES
D7 SPOTIFY CAMP NOU;5813;TORRE MELINA;ES
SEAVIEW CAFE;5812;MELLIEHA;MT
FITZ CLUB;7832;MADRID;ES
MÁV-START JEGYKIADÓ;4112;VELENCE;HU
D9DFB SPORTS;5815;DUBLIN 4;IE
GOPAY *CINEMAWARE.EU;7832;SYSTEM.CINEMA;CZ
LEKARNA POD KANKEM;5912;KUTNA HORA;CZ
ISEE MALTA;4722;SLIEMA;MT
UNSOY TURIZM SHELL;5541;TEKIRDAG;TR
USCUSTOMS ESTA APPL PMT;9399;317-715-6776;US
AUCHAN SOROKSAR;5311;BUDAPEST;HU
CM *MOCO AMSTERDAM;7991;AMSTERDAM;NL
TV NOVA 9800249858;4899;PRAHA 5;CZ
PROTV 9717753944;4899;BUCHAREST;RO
FOODORA_AT_CJYF-2422-2VWT;5499;WIEN;AT
TV NOVA 6810682075;4899;PRAHA 5;CZ
LIDL DIENSTLEISTUNG;5411;OLDENBURG IN;DE
D11E1 ENTS;5815;DUBLIN 4;IE
PUBLIX #1006 000001006;5411;PALM BCH GDNS;US
ENTRYTICKETS LTD.;7922;KOMARNO;SK
DEEZEREUROPE 7UIV;5815;PARIS;FR
MOONPAY*METAMASK 6576;6051;MOONPAY.COM;IE
ADNOC AL RAEFA 787;5541;UMMALQUWAI;AE
CMT UK LTD TAXI FARE;4121;LONDON;GB
LIME*RIDE D2TL;7519;BULGARIA;BG
NOW 4F3A2 ENTERTAI;5815;LONDON;GB
WPML-ATE;5734;WANCHAI;HK
MICROSOFT-G126347829;5045;MSBILL.INFO;CH
A.S. TELHEIRAS;5541;LISBOA;PT
87676451 ZINZINO;5499;VAESTRA FROEL;SE
TOOGOODT T6B3YWZX3B4G0;5812;TOOGOODTOGO.E;DK
SUPERPROF * PACK BOUALE;7333;PARIS - FRANC;FR
FAST FOOD ZRCE;5812;NOVALJA;HR
SEM MOBILITE�CUM;4111;CGEZPQ6NADHP�;FR
WAYLET;5983;MADRID;ES
GOOGLE *GOOGLE STORAGE;7372;G.CO/HELPPAY#;IE
TOOGOODT EY2EK691E26T0;5812;TOOGOODTOGO.C;DK
TV NOVA 2425961972;4899;PRAHA 5;CZ
NEXT BAR;5812;BUDAPEST;HU
BOOKS ON THE GREEN;5942;DUBLIN 4;IE
BOLT.EUD2509091050;5812;TALLINN;EE
MICROSOFT-G120073725;5045;MSBILL.INFO;CH
KITH PARIS;5651;PARIS;FR
SKOLNI BUFIK;5814;PRAHA;CZ
AIRBNB * HM5PBMJFBY;4722;372-088-3800;LU
FOODORA_CZ_SUB-34NLLOQ;5499;PRAGUE 8;CZ
ACS*22278051 THREE;4814;ROTTERDAM;NL
VOYO.SK 2196984720;4899;BRATISLAVA;SK
HEGNAUER MARKT;5411;HEGNAU;CH
OTOS CSEMEGE;5411;EGER;HU
