merchant_description;mcc;city;country;amount;date
COOP 11.SZ. U:ZLET KOC;5411;KOCS;HU;165.48;2025-11-03
AMAZON UK* ZL4T49U94;5399;LONDON;GB;33.94;2025-12-06
TCL 69 LYO;4111;V25309031874�;FR;116.77;2025-10-14
77418422;5499;VAESTRA FROEL;SE;167.4;2026-03-21
O17637159210879446 APP BR;9311;TORINO;IT;127.16;2025-12-15
MARCH RESTAURANTS;5812;W DENSWIL;CH;151.53;2026-01-27
LS THE SALTY DOG CAFE;5814;TORQUAY;AU;125.12;2025-12-01
GOPAY  *ANTIKAVION.CZ;5942;LIBEREC;CZ;152.63;2025-10-14
SQSP* DOMAIN#215854114;7372;NEW YORK;US;169.78;2025-10-01
PIZZERIA DI ROMA;5812;CHESSY;FR;6.06;2026-03-15
DIPSAMATIC;5499;BUSSY ST G;FR;174.07;2026-01-05
TV NOVA 7989441053;4899;PRAHA 5;CZ;94.82;2026-01-10
SC LASERUM SABADELL;7230;SABADELL;ES;52.9;2026-02-19
D7 SPOTIFY CAMP NOU;5813;TORRE MELINA;ES;51.76;2026-01-17
SEAVIEW CAFE;5812;MELLIEHA;MT;124.27;2025-12-11
FITZ CLUB;7832;MADRID;ES;178.78;2025-12-07
MÁV-START JEGYKIADÓ;4112;VELENCE;HU;6.91;2025-12-28
D9DFB SPORTS;5815;DUBLIN 4;IE;101.73;2026-02-20
GOPAY *CINEMAWARE.EU;7832;SYSTEM.CINEMA;CZ;93.54;2025-12-13
LEKARNA POD KANKEM;5912;KUTNA HORA;CZ;151.14;2025-10-09
ISEE MALTA;4722;SLIEMA;MT;127.13;2026-02-16
UNSOY TURIZM SHELL;5541;TEKIRDAG;TR;123.16;2025-10-15
USCUSTOMS ESTA APPL PMT;9399;317-715-6776;US;106.73;2025-11-08
AUCHAN SOROKSAR;5311;BUDAPEST;HU;15.61;2025-11-07
CM *MOCO AMSTERDAM;7991;AMSTERDAM;NL;109.33;2025-11-23
TV NOVA 9800249858;4899;PRAHA 5;CZ;49.83;2025-12-24
PROTV 9717753944;4899;BUCHAREST;RO;90.84;2025-11-17
FOODORA_AT_CJYF-2422-2VWT;5499;WIEN;AT;106.25;2025-10-16
TV NOVA 6810682075;4899;PRAHA 5;CZ;32.33;2025-11-19
LIDL DIENSTLEISTUNG;5411;OLDENBURG IN;DE;39.44;2026-02-07
D11E1 ENTS;5815;DUBLIN 4;IE;142.25;2025-11-08
PUBLIX #1006 000001006;5411;PALM BCH GDNS;US;188.21;2025-10-05
ENTRYTICKETS LTD.;7922;KOMARNO;SK;13.28;2025-11-28
DEEZEREUROPE 7UIV;5815;PARIS;FR;120.67;2025-10-08
MOONPAY*METAMASK 6576;6051;MOONPAY.COM;IE;146.51;2025-11-18
ADNOC AL RAEFA 787;5541;UMMALQUWAI;AE;32.35;2026-02-14
CMT UK LTD TAXI FARE;4121;LONDON;GB;149.47;2025-12-14
LIME*RIDE D2TL;7519;BULGARIA;BG;80.11;2025-12-19
NOW 4F3A2 ENTERTAI;5815;LONDON;GB;114.05;2025-10-30
WPML-ATE;5734;WANCHAI;HK;41.09;2026-02-21
MICROSOFT-G126347829;5045;MSBILL.INFO;CH;184.45;2025-10-15
A.S. TELHEIRAS;5541;LISBOA;PT;31.37;2026-01-31
87676451 ZINZINO;5499;VAESTRA FROEL;SE;81.76;2026-02-20
TOOGOODT T6B3YWZX3B4G0;5812;TOOGOODTOGO.E;DK;52.24;2026-02-14
SUPERPROF * PACK BOUALE;7333;PARIS - FRANC;FR;80.01;2025-11-06
FAST FOOD ZRCE;5812;NOVALJA;HR;32.8;2026-02-23
SEM MOBILITE�CUM;4111;CGEZPQ6NADHP�;FR;148.19;2025-12-07
WAYLET;5983;MADRID;ES;85.24;2025-10-14
GOOGLE *GOOGLE STORAGE;7372;G.CO/HELPPAY#;IE;80.73;2025-11-29
TOOGOODT EY2EK691E26T0;5812;TOOGOODTOGO.C;DK;183.75;2025-10-12
TV NOVA 2425961972;4899;PRAHA 5;CZ;62.76;2026-01-12
NEXT BAR;5812;BUDAPEST;HU;43.5;2025-12-20
BOOKS ON THE GREEN;5942;DUBLIN 4;IE;149.98;2025-11-15
BOLT.EUD2509091050;5812;TALLINN;EE;168.91;2025-10-09
MICROSOFT-G120073725;5045;MSBILL.INFO;CH;121.84;2026-03-11
KITH PARIS;5651;PARIS;FR;47.71;2025-12-02
SKOLNI BUFIK;5814;PRAHA;CZ;95.36;2025-12-24
AIRBNB * HM5PBMJFBY;4722;372-088-3800;LU;75.25;2026-01-20
FOODORA_CZ_SUB-34NLLOQ;5499;PRAGUE 8;CZ;69.53;2026-01-05
ACS*22278051 THREE;4814;ROTTERDAM;NL;123.16;2025-11-14
VOYO.SK 2196984720;4899;BRATISLAVA;SK;61.3;2025-11-12
HEGNAUER MARKT;5411;HEGNAU;CH;176.51;2026-01-16
OTOS CSEMEGE;5411;EGER;HU;50.54;2026-01-23
AMAZON UK* ZC8V81J34;5399;LONDON;GB;159.42;2025-12-06
LIDL CAPE 2391;5310;CAPPELLE LA G;FR;170.23;2025-11-21
LIDL RO-381;5411;SNAGOV;RO;146.98;2026-03-17
GASTRONOMIA PLAZOWA;5814;DZIWNOWEK;PL;45.18;2025-12-07
6AB06 SKY CINE;4899;DUBLIN 4;IE;70.46;2025-11-09
LIME*RIDE CS3K;4789;WARSZAWA;PL;39.16;2026-01-28
HEINEMANN DUTY FREE/FIL.2;5309;SCHONEFELD;DE;118.75;2026-01-12
EMPRESA MALAGUENA DE T;4111;MALAGA;ES;64.96;2025-12-28
AVAST  *AVAP1650748675;5817;AVAST.COM/ORD;IE;41.04;2025-10-13
SOCIAL DEAL 2 X DE VLI;7278;'S-HERTOGENBO;BE;45.9;2025-12-27
ESCLATOIL REUS;5542;REUS;ES;85.0;2025-09-27
TOOGOODT CSBGG3HYFBQF0;5812;COPENHAGEN;DK;82.03;2025-12-22
T-PONT KORZO' U:ZLETH;4812;NYIREGYH.;HU;34.63;2026-02-14
AMAZON UK* Z94IX9XV4;5399;LONDON;GB;163.15;2026-01-08
METRO BARCELONA;4111;BARCELONA;ES;169.59;2025-10-02
LIME*REAJUSTE SALDO I7;4789;BARCELONA;ES;58.34;2025-11-11
CHANTAL BAR PTR SRL;5813;TIMISOARA;RO;35.65;2026-02-13
OLAJBOGYÓ PIZZÉRIA;5812;ALGYO;HU;84.21;2025-12-06
G7;4121;CLICHY;FR;137.98;2025-11-02
SKYSHOWTIME 2D948 STANDAR;4899;AMSTERDAM;NL;81.52;2025-11-30
SQSP* WORKSP#214977538;7372;SQUARESPACE.C;US;86.12;2025-10-19
PAYPAL *LOVOO GMBH;7273;35314369001;DE;114.91;2025-11-25
GOPAY *SVETBOT.CZ;5661;BRNO - BRNO-M;CZ;103.87;2026-03-21
PENSION UBEDA;7011;FUENMAYOR;ES;98.92;2026-02-18
LIME*PASS AAGP;4789;33974595221;FR;186.65;2026-01-06
0LPB6IDIXQST;4111;TOULOUSE CEDE;FR;38.97;2026-01-08
CAFEVIENNAAG;5814;NEW YORK;US;157.0;2025-11-19
